Result,Timestamp
0,-0.51171875
0.033333333,-0.645996094
0.066666667,-0.76953125
0.1,-0.860351563
0.133333333,-0.850097656
0.166666667,-0.643554688
0.2,-0.084838867
0.233333333,0.48046875
0.266666667,0.671386719
0.3,0.698730469
0.333333333,0.552734375
0.366666667,0.416992188
0.4,0.196899414
0.433333333,0.046844482
0.466666667,-0.061126709
0.5,-0.071044922
0.533333333,-0.181274414
0.566666667,-0.230224609
0.6,-0.381591797
0.633333333,-0.455078125
0.666666667,-0.609375
0.7,-0.657714844
0.733333333,-0.64453125
0.766666667,-0.728027344
0.8,-0.760253906
0.833333333,-0.727539063
0.866666667,-0.58203125
0.9,-0.89453125
0.933333333,-1.041015625
0.966666667,-1.02734375
1,-0.778808594
1.033333333,-0.072753906
1.066666667,-0.145507813
1.1,-0.412353516
1.133333333,-0.499267578
1.166666667,-0.34375
1.2,-0.2578125
1.233333333,-0.492431641
1.266666667,-0.409423828
1.3,-0.680175781
1.333333333,-0.680175781
1.366666667,-0.470703125
1.4,-0.532714844
1.433333333,-0.640625
1.466666667,-0.854980469
1.5,-0.956542969
1.533333333,-1.109375
1.566666667,-1.098632813
1.6,-0.981933594
1.633333333,-0.791992188
1.666666667,-0.208496094
1.7,-0.246826172
1.733333333,0.286376953
1.766666667,0.532714844
1.8,0.457763672
1.833333333,0.203491211
1.866666667,0.031677246
1.9,-0.074707031
1.933333333,-0.267333984
1.966666667,-0.5390625
2,-0.629394531
2.033333333,-0.76171875
2.066666667,-0.893066406
2.1,-0.826171875
2.133333333,0.171875
2.166666667,1.170898438
2.2,1.329101563
2.233333333,1.138671875
2.266666667,0.768066406
2.3,0.36328125
2.333333333,0.031616211
2.366666667,-0.108093262
2.4,-0.163696289
2.433333333,-0.234130859
2.466666667,-0.322021484
2.5,-0.509277344
2.533333333,-0.759765625
2.566666667,-0.794921875
2.6,-0.571777344
2.633333333,-0.145874023
2.666666667,0.361572266
2.7,0.793945313
2.733333333,0.631347656
2.766666667,0.228271484
2.8,0.010887146
2.833333333,-0.244262695
2.866666667,-0.442871094
2.9,-0.500488281
2.933333333,-0.485595703
2.966666667,0.190307617
3,0.737304688
3.033333333,0.945800781
3.066666667,0.827636719
3.1,0.452392578
3.133333333,0.203125
3.166666667,0.061340332
3.2,-0.089599609
3.233333333,-0.189819336
3.266666667,-0.322998047
3.3,-0.437744141
3.333333333,-0.538085938
3.366666667,-0.600097656
3.4,-0.667480469
3.433333333,-0.678222656
3.466666667,-0.477783203
3.5,-0.150268555
3.533333333,0.235717773
3.566666667,0.409423828
3.6,0.553222656
3.633333333,0.38671875
3.666666667,0.277832031
3.7,0.177978516
